Date,Open,High,Low,Close,Adj Close,Volume
2013-09-03,14801.549805,14933.349609,14777.480469,14833.959961,14833.959961,142530000
2013-09-04,14832.419922,14956.740234,14799.089844,14930.870117,14930.870117,122150000
2013-09-05,14929.490234,14987.469727,14923.269531,14937.480469,14937.480469,101010000
2013-09-06,14941.549805,15009.839844,14789.400391,14922.500000,14922.500000,108410000
2013-09-09,14927.190430,15088.410156,14927.190430,15063.120117,15063.120117,90660000
2013-09-10,15067.230469,15192.129883,15067.230469,15191.059570,15191.059570,103200000
2013-09-11,15194.129883,15326.599609,15194.129883,15326.599609,15326.599609,102090000
2013-09-12,15327.139648,15345.320313,15283.259766,15300.639648,15300.639648,99760000
2013-09-13,15312.860352,15380.969727,15312.860352,15376.059570,15376.059570,90890000
2013-09-16,15381.360352,15549.870117,15381.360352,15494.780273,15494.780273,105740000
2013-09-17,15503.150391,15555.070313,15503.150391,15529.730469,15529.730469,104480000
2013-09-18,15533.030273,15709.580078,15470.160156,15676.940430,15676.940430,145410000
2013-09-19,15677.860352,15695.889648,15625.450195,15636.549805,15636.549805,116280000
2013-09-20,15635.089844,15654.769531,15448.089844,15451.089844,15451.089844,379650000
2013-09-23,15452.309570,15466.950195,15368.250000,15401.379883,15401.379883,94920000
2013-09-24,15402.540039,15433.750000,15327.139648,15334.589844,15334.589844,85430000
2013-09-25,15339.019531,15372.480469,15253.160156,15273.259766,15273.259766,81890000
2013-09-26,15274.419922,15387.190430,15274.419922,15328.299805,15328.299805,79050000
2013-09-27,15317.450195,15317.450195,15211.809570,15258.240234,15258.240234,95660000
2013-09-30,15249.820313,15249.820313,15086.709961,15129.669922,15129.669922,122330000
2013-10-01,15132.490234,15208.400391,15110.339844,15191.700195,15191.700195,82460000
2013-10-02,15182.650391,15182.650391,15044.709961,15133.139648,15133.139648,86090000
2013-10-03,15127.230469,15127.230469,14947.030273,14996.480469,14996.480469,91300000
2013-10-04,14994.679688,15083.990234,14972.330078,15072.580078,15072.580078,75100000
2013-10-07,15069.299805,15069.299805,14920.830078,14936.240234,14936.240234,79620000
2013-10-08,14938.040039,14938.040039,14773.469727,14776.530273,14776.530273,102690000
2013-10-09,14778.190430,14852.500000,14719.429688,14802.980469,14802.980469,103190000
2013-10-10,14806.389648,15126.070313,14806.389648,15126.070313,15126.070313,106540000
2013-10-11,15126.519531,15237.299805,15100.129883,15237.110352,15237.110352,85730000
2013-10-14,15231.330078,15309.480469,15136.379883,15301.259766,15301.259766,81420000
2013-10-15,15300.299805,15301.910156,15161.330078,15168.009766,15168.009766,91440000
2013-10-16,15170.700195,15374.150391,15170.700195,15373.830078,15373.830078,92850000
2013-10-17,15369.459961,15376.110352,15229.019531,15371.650391,15371.650391,108490000
2013-10-18,15371.709961,15412.969727,15321.809570,15399.650391,15399.650391,156660000
2013-10-21,15401.320313,15410.179688,15362.660156,15392.200195,15392.200195,93660000
